,,,,,,Dataset Length,,,,,,,Accuracy For best features,,,,,,,,,,,,,,,
Model_Name,MAE,MSE,RMSE,R2,Descriptors_Detail,Train,Test,,,,,Best # of features,MAE,MSE,RMSE,R2,,,,,,,,,,,,
XGB_298,0.4084,0.3047,0.552,0.927,125 features + 128 fingerprint 7 f_group+38 extra features,17937,1282,,,,,20,0.4943,0.4157,0.6447,0.9003,,,,,,,,,,,,
XGB_96,0.4179,0.3218,0.5673,0.9228,96 features from ulf script,17937,1282,,,,,40,0.4767,0.391,0.6253,0.9062,,,,,,,,,,,,
XGB_193,0.4136,0.3178,0.5637,0.9238,193 features  - chatgpt suggest another 97 for ulf,17937,1282,,,,,60,0.4418,0.3516,0.593,0.9157,,,,,,,,,,,,
XGB_394,0.4114,0.3108,0.5575,0.9255,394 features - 298 + 96 - Paper 298 features + Prof. Ulf featutes,17937,1282,,,,,80,0.4333,0.3426,0.5853,0.9179,,,,,,,,,,,,
XGB_491,0.41,0.31,0.5568,0.9257,491 features - 298 + 193 - Paper 298 features + Prof. Ulf featutes +chatgpt 97,17937,1282,,,,,100,0.4233,0.3294,0.5739,0.921,,,,,,,,,,,,
,,,,,,,,,,,,120,0.4163,0.3184,0.5642,0.9237,,,,,,,,,,,,
RF_298,0.4401,0.3351,0.5789,0.9196,125 features + 128 fingerprint 7 f_group+38 extra features,17522,1281,,,,,140,0.4205,0.3254,0.5704,0.922,,,,,,,,,,,,
RF_96,0.4114,0.3108,0.5575,0.9255,96 features from ulf script,17937,1282,,,,,160,0.413,0.3156,0.5618,0.9243,,,,,,,,,,,,
RF_193,0.4387,0.3312,0.5755,0.9205,193 features  - chatgpt suggest another 97 for ulf,17522,1281,,,,,180,0.4135,0.317,0.5631,0.924,,,,,,,,,,,,
RF_394,0.4356,0.3287,0.5733,0.9211,394 features - 298 + 96 - Paper 298 features + Prof. Ulf featutes,17522,1281,,,,,200,0.4113,0.3152,0.5614,0.9244,,,,,,,,,,,,
RF_491,0.4337,0.3254,0.5705,0.9219,491 features - 298 + 193 - Paper 298 features + Prof. Ulf featutes +chatgpt 97,17522,1281,,,,,220,0.4071,0.3092,0.5561,0.9259,,,,,,,,,,,,
,,,,,,,,,,,,240,0.4081,0.3099,0.5567,0.9257,,,,,,,,,,,,
,,,,,,,,,,,,260,0.409,0.3123,0.5588,0.9251,,,,,,,,,,,,
,Morgan Features,,,,,,,,,,,280,0.411,0.3121,0.5587,0.9252,,,,,,,,,,,,
Morgan Count,0.61386531,0.6182,0.78626,0.851773573,Morgan Count,,,,,,,300,0.4121,0.3125,0.559,0.9251,,,,,,,,,,,,
morgan Count,0.8177,1.1772,1.085,0.7177,morgan Binary,,,,,,,320,0.4127,0.3131,0.5596,0.9249,,,,,,,,,,,,
,,,,,,,,,,,,340,0.4102,0.3101,0.5568,0.9257,,,,,,,,,,,,
,,,,,,,,,,,,360,0.4108,0.3124,0.5589,0.9251,,,,,,,,,,,,
,,,,,,,,,,,,380,0.4096,0.3106,0.5573,0.9255,,,,,,,,,,,,
Radius ,MAE,MSE,RMSE,R2,Dimention,,,,,,,400,,,,,,,,,,,,,,,,
1,0.8452, 1.2335, 1.1106, 0.7042,2048,,,,,,,,,,,,,,,,,,,,,,,
2,0.8177,1.1772,1.085,0.7177,2048,,,,,,,,,,,,,,,,,,,,,,,
3,0.8034, 1.134, 1.0649, 0.7281,2048,,,,,,,,,,,,,,,,,,,,,,,
4,0.7877, 1.1079, 1.0526, 0.7344,2048,,,,,,,,,,,,,,,,,,,,,,,
5,0.7768,1.083,1.0407,0.7403,2048,,,,,,,,,,,,,,,,,,,,,,,
6,0.773,1.0745,1.0366,0.7424,2048,,,,,,,,,,,,,,,,,,,,,,,
7,0.7739,1.0741,1.0364,0.7425,2048,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GVFA Results,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dimension,MAE,MSE,RMSE,R2,,,,,,,,,,,,,,,,,,,,,,,
,100,0.628726602,0.514097815,0.717006147,0.828085721,,,,,,,,,,,,,,,,,,,,,,,
,500,0.518977582,0.245901859,0.495884925,0.881103277,,,,,,,,,,,,,,,,,,,,,,,
,1000,0.509867311,0.238393696,0.488255769,0.882932484,,,,,,,,,,,,,,,,,,,,,,,
,2000,0.51813823,0.252225801,0.502220869,0.879584134,,,,,,,,,,,,,,,,,,,,,,,
,5000,0.490479529,0.207257334,0.45525524,0.890844941,,,,,,,,,,,,,,,,,,,,,,,
,10000,0.490394622,0.215356809,0.464065522,0.888732493,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Unigram bi gram trigram,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Unigram,,,,Bigram,,,,Trigram,,,,All concatinated,,,
,,,,,,,,,,,,Radius,MAE,MSE,RMSE,R2,MAE,MSE,RMSE,R2,MAE,MSE,RMSE,R2,MAE,MSE,RMSE,R2
,,,,,,,,,,,,1,0.5888,0.5812,0.7624,0.8606,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5763,0.5652,0.7518,0.8645
,,,,,,,,,,,,2,0.5987,0.5981,0.7734,0.8566,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5762,0.5594,0.7479,0.8659
,,,,,,,,,,,,3,0.6101,0.6132,0.7831,0.853,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5867,0.5764,0.7592,0.8618
,,,,,,,,,,,,4,0.6102,0.6244,0.7902,0.8503,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5823,0.5738,0.7575,0.8624
,,,,,,,,,,,,5,0.6097,0.6285,0.7928,0.8493,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5763,0.5651,0.7517,0.8645
,,,,,,,,,,,,6,0.6069,0.6155,0.7845,0.8524,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5791,0.5648,0.7516,0.8646
,,,,,,,,,,,,7,0.6096,0.6234,0.7896,0.8505,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.583,0.5797,0.7614,0.861
,,,,,,,,,,,,8,0.6109,0.6233,0.7895,0.8505,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5867,0.578,0.7603,0.8614
,,,,,,,,,,,,9,0.6099,0.623,0.7893,0.8506,0.6005,0.5942,0.7708,0.8575,0.7295,0.8622,0.9286,0.7933,0.5849,0.5752,0.7584,0.8621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Dimention,MAE,MSE,RMSE,R2,,,,,,,,
,,,,,,,,,,,,,,,,100,0.8849,1.4299,1.1958,0.6572,,,,,,,,
,,,,,,,,,,,,,,,,200,0.7847,1.1447,1.0699,0.7255,,,,,,,,
,,,,,,,,,,,,,,,,500,0.7463,1.0328,1.0163,0.7524,,,,,,,,
,,,,,,,,,,,,,,,,1000,0.7563,1.0436,1.0216,0.7498,,,,,,,,
,,,,,,,,,,,,,,,,1500,0.7618,1.0545,1.0269,0.7472,,,,,,,,
,,,,,,,,,,,,,,,,3000,0.7645,1.0424,1.021,0.7501,,,,,,,,
,,,,,,,,,,,,,,,,5000,0.7797,1.0781,1.0383,0.7415,,,,,,,,
,,,,,,,,,,,,,,,,10000,0.7761,1.0591,1.0291,0.7461,,,,,,,,
