feature,importance
MolLogP,0.2724352
MolMR,0.133305
NumHAcceptors,0.09902814
NOCount,0.095226824
NumAromaticCarbocycles,0.031952024
TPSA,0.028480478
PEOE_VSA6,0.020537153
LabuteASA,0.020485142
NumHeteroatoms,0.019219099
SMR_VSA2,0.016952444
SMR_VSA10,0.012930536
MolWt,0.012786849
NumAromaticRings,0.011736916
SMR_VSA3,0.011092052
RingCount,0.009499351
Chi1v,0.009166282
HeavyAtomCount,0.008498981
NumHDonors,0.0074183545
HallKierAlpha,0.006664255
NumSaturatedHeterocycles,0.006294361
PEOE_VSA2,0.006151842
NumSaturatedRings,0.00587277
SlogP_VSA2,0.005630993
VSA_EState2,0.005353633
PEOE_VSA13,0.0050326018
NHOHCount,0.004773723
SlogP_VSA12,0.0045051076
EState_VSA10,0.0044546323
VSA_EState9,0.004431286
FractionCSP3,0.004367368
SMR_VSA6,0.0038005174
PEOE_VSA3,0.00360528
NumAromaticHeterocycles,0.0035267908
Kappa1,0.0034001034
SlogP_VSA7,0.0032881903
PEOE_VSA14,0.003239957
SMR_VSA9,0.0031856608
SlogP_VSA10,0.0031816862
PEOE_VSA1,0.0030066206
NumAliphaticHeterocycles,0.0027248373
NumRotatableBonds,0.0026670727
Chi1,0.0025988305
PEOE_VSA12,0.0025601836
SMR_VSA7,0.002554986
SMR_VSA1,0.002532613
SlogP_VSA4,0.002531626
SlogP_VSA11,0.0024908155
SlogP_VSA3,0.0024710554
SlogP_VSA6,0.0021872232
Chi0v,0.0021693294
EState_VSA4,0.0021140573
SlogP_VSA1,0.002085494
NumAliphaticCarbocycles,0.0020425648
PEOE_VSA11,0.0020153436
VSA_EState8,0.0019934806
EState_VSA9,0.0019865772
PEOE_VSA4,0.0019392484
SMR_VSA5,0.0018489572
VSA_EState1,0.0018486308
SlogP_VSA5,0.0018450127
EState_VSA2,0.001830862
NumAliphaticRings,0.0018072212
PEOE_VSA10,0.0017813023
SlogP_VSA8,0.0017136396
VSA_EState3,0.0016434684
PEOE_VSA5,0.001619393
Chi4v,0.0016150225
EState_VSA1,0.001594533
Chi0n,0.0015359039
SMR_VSA4,0.001535331
PEOE_VSA9,0.0015190003
PEOE_VSA8,0.0015021454
VSA_EState10,0.0014641372
Chi0,0.0013549193
EState_VSA7,0.0012842859
Kappa2,0.0012840624
VSA_EState5,0.00113389
PEOE_VSA7,0.0010866736
VSA_EState4,0.0009994714
Kappa3,0.0009969875
Chi3v,0.00097645173
VSA_EState7,0.0009716903
EState_VSA5,0.00092962617
EState_VSA6,0.00090852997
EState_VSA3,0.00084588834
VSA_EState6,0.00082108035
EState_VSA8,0.0007092995
Chi2n,0.0005073424
Chi1n,0.000497376
Chi2v,0.0004876429
NumSaturatedCarbocycles,0.0004682064
Chi4n,0.0004358025
Chi3n,0.00040280545
EState_VSA11,9.9307035e-06
SlogP_VSA9,0.0
SMR_VSA8,0.0
